****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 124x1554
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.047	Loglikelihood: -46918.4	(delta): 222894
83 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17035.6	(delta): 6.11899
84 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17020.3	(delta): 15.3227
85 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -17017.5	(delta): 2.78558
86 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17010.1	(delta): 7.41524
87 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -17006.3	(delta): 3.73825
88 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -17005.2	(delta): 1.13853
89 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -17004.5	(delta): 0.681609
90 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -17003.9	(delta): 0.570901
91 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -17003.4	(delta): 0.547645
92 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -17002.8	(delta): 0.552896
93 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -17002.3	(delta): 0.537639
94 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -17000.2	(delta): 2.11832
95 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16998.6	(delta): 1.6049
96 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -16998	(delta): 0.588136
97 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16997.4	(delta): 0.610775
98 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -16995.7	(delta): 1.642
99 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -16980.6	(delta): 15.1701
100 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -16980	(delta): 0.568944
101 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16974.3	(delta): 5.64496
102 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16967	(delta): 7.35957
103 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16961.9	(delta): 5.08465
104 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16960.6	(delta): 1.33823
105 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16957.5	(delta): 3.09321
106 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16952.4	(delta): 5.0305
107 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16947.7	(delta): 4.75615
108 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16946.2	(delta): 1.4412
109 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16944.1	(delta): 2.10549
110 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16942.8	(delta): 1.34844
111 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16940.5	(delta): 2.23471
112 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16939.8	(delta): 0.794158
113 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16931.3	(delta): 8.43666
114 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -16914.3	(delta): 17.0642
115 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16911.6	(delta): 2.63052
116 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16911.1	(delta): 0.520339
117 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16910.5	(delta): 0.610545
118 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16910.2	(delta): 0.308852
119 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16909.8	(delta): 0.38787
120 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16909	(delta): 0.767603
121 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16908	(delta): 1.05079
122 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16907.8	(delta): 0.199135
123 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16904.2	(delta): 3.53957
124 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16901.1	(delta): 3.13689
125 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16896.4	(delta): 4.68688
126 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16895.6	(delta): 0.811773
127 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16895.4	(delta): 0.177893
128 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16895.2	(delta): 0.217747
129 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -16894.8	(delta): 0.438952
130 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16893.7	(delta): 1.05843
131 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16892.6	(delta): 1.13208
132 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16890.1	(delta): 2.46056
133 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16889.9	(delta): 0.253304
134 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16889.5	(delta): 0.394939
135 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16888.6	(delta): 0.841585
136 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16888	(delta): 0.617687
137 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16887.7	(delta): 0.346299
138 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16887.2	(delta): 0.4305
139 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16886.9	(delta): 0.372794
140 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16886.2	(delta): 0.697355
141 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16883	(delta): 3.19489
142 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16882.9	(delta): 0.0967798
143 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16882.3	(delta): 0.562668
144 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16882.2	(delta): 0.104817
145 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16882.1	(delta): 0.102363
146 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16881.6	(delta): 0.488001
147 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16879.8	(delta): 1.84991
148 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16879	(delta): 0.788866
149 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16878.1	(delta): 0.846425
150 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16877.6	(delta): 0.53333
151 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16877.1	(delta): 0.464425
152 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16876.2	(delta): 0.896385
153 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16875.3	(delta): 0.983171
154 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16874.4	(delta): 0.839327
155 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16873.8	(delta): 0.569607
156 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16873.7	(delta): 0.171376
157 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16873.5	(delta): 0.217672
158 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16866.7	(delta): 6.78759
159 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16864.8	(delta): 1.84438
160 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16864.2	(delta): 0.585478
161 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16863.7	(delta): 0.4972
162 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16863.4	(delta): 0.349906
163 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16862.8	(delta): 0.572761
164 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16862.6	(delta): 0.260748
165 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16862.4	(delta): 0.10603
166 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16862.2	(delta): 0.263239
167 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16861.2	(delta): 0.939657
168 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16861.1	(delta): 0.179887
169 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16860.8	(delta): 0.229735
170 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16860.6	(delta): 0.28139
171 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16859.7	(delta): 0.807986
172 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16858.7	(delta): 1.03053
173 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16858.1	(delta): 0.588718
174 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16857	(delta): 1.16472
175 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16856.4	(delta): 0.601299
176 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16855.8	(delta): 0.586398
177 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16855.5	(delta): 0.288195
178 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16853.7	(delta): 1.74299
179 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16852	(delta): 1.72203
180 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16851.3	(delta): 0.681721
181 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16850.4	(delta): 0.957002
182 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16849.5	(delta): 0.860486
183 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -16848.9	(delta): 0.66946
184 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -16848.6	(delta): 0.263974
185 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16848.3	(delta): 0.252693
186 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16848.2	(delta): 0.106397
187 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16846.4	(delta): 1.84667
188 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16845.9	(delta): 0.530355
189 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16845.6	(delta): 0.220662
190 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16844.5	(delta): 1.10961
191 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -16844.4	(delta): 0.117156
192 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16843.9	(delta): 0.533927
193 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16843.6	(delta): 0.245525
194 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16843.4	(delta): 0.176958
195 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16843.3	(delta): 0.161851
196 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16843.1	(delta): 0.190051
197 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -16841.6	(delta): 1.53459
198 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -16841.2	(delta): 0.358261
199 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16840.9	(delta): 0.354032
200 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16840.7	(delta): 0.124291
201 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16840.1	(delta): 0.636314
202 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -16839.9	(delta): 0.206275
203 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -16839.3	(delta): 0.54948
204 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -16838.8	(delta): 0.564125
205 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16838.5	(delta): 0.233047
206 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16837.5	(delta): 1.07778
207 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16836.8	(delta): 0.70025
208 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16836.1	(delta): 0.616761
209 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16835.3	(delta): 0.869554
210 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16835	(delta): 0.305219
211 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16834.7	(delta): 0.241749
212 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16834.6	(delta): 0.117844
213 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16831.1	(delta): 3.5443
214 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16829.8	(delta): 1.26179
215 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16829.5	(delta): 0.288739
216 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16829.4	(delta): 0.0746457
217 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16829.3	(delta): 0.108979
218 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -16829.1	(delta): 0.247025
219 (QN/EM) 	Elapsed: 0.045	Loglikelihood: -16828.6	(delta): 0.466466
220 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16826.7	(delta): 1.87515
221 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16826.1	(delta): 0.610883
222 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -16825.4	(delta): 0.718016
223 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16824.5	(delta): 0.91484
224 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16824.3	(delta): 0.18916
225 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16820.1	(delta): 4.22102
226 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16820	(delta): 0.0645782
227 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16819.9	(delta): 0.0831216
228 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -16819.9	(delta): 0.0587315
229 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16819.5	(delta): 0.391657
230 (QN/EM) 	Elapsed: 0.044	Loglikelihood: -16819.4	(delta): 0.0952676
231 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16819.3	(delta): 0.137222
232 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16819.1	(delta): 0.108575
233 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16818.6	(delta): 0.534246
234 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16818.2	(delta): 0.429635
235 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16817.9	(delta): 0.248041
236 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16817.9	(delta): 0.0271885
237 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16817.8	(delta): 0.0932989
238 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16817.5	(delta): 0.361657
239 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16817	(delta): 0.490906
240 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16816.8	(delta): 0.193529
241 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16816.7	(delta): 0.0370666
242 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16816.7	(delta): 0.0301958
243 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16816.6	(delta): 0.133777
244 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16816.5	(delta): 0.0521752
245 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16816.5	(delta): 0.0309714
246 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16816.4	(delta): 0.0416952
247 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16816.4	(delta): 0.0367109
248 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16816.3	(delta): 0.0838716
249 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16816.3	(delta): 0.029721
250 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16816.2	(delta): 0.0443813
251 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16816.2	(delta): 0.0296131
252 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16816.2	(delta): 0.067853
253 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16816.1	(delta): 0.0245963
254 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16816.1	(delta): 0.0429168
255 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16816.1	(delta): 0.0267268
256 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16816	(delta): 0.0647138
257 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16816	(delta): 0.0192452
258 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16815.9	(delta): 0.0372357
259 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16815.9	(delta): 0.0220959
260 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16815.9	(delta): 0.0498433
261 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16815.8	(delta): 0.0140938
262 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16815.8	(delta): 0.0356773
263 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16815.8	(delta): 0.0128633
264 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16815.7	(delta): 0.0625917
265 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16815.7	(delta): 0.0101624
266 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16815.7	(delta): 0.0218852
267 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16815.7	(delta): 0.0110474
268 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16815.6	(delta): 0.0953919
269 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16815.6	(delta): 0.00451511
270 (QN/EM) 	Elapsed: 0.042	Loglikelihood: -16815.6	(delta): 0.0133355
271 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16815.6	(delta): 0.00766501
272 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16815.4	(delta): 0.13065
273 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16815.4	(delta): 0.00524283
274 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16815.4	(delta): 0.00401993
275 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16815.4	(delta): 0.00461748
276 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16815.4	(delta): 0.0170109
277 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16815.4	(delta): 0.0178957
278 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16815.4	(delta): 0.00356683
279 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16815.4	(delta): 0.00398722
280 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16815.4	(delta): 0.00775383
281 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16815.4	(delta): 0.0200433
282 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16815.4	(delta): 0.00202366
283 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16815.4	(delta): 0.00305996
284 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16815.3	(delta): 0.00633053
285 (QN/EM) 	Elapsed: 0.043	Loglikelihood: -16815.3	(delta): 0.0201398
