****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 124x1554
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.042	Loglikelihood: -46815.3	(delta): 227812
26 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -19132.8	(delta): 25.1951
27 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -19116.1	(delta): 16.6913
28 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -19065.5	(delta): 50.6253
29 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -19034	(delta): 31.4209
30 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -18969.1	(delta): 64.9263
31 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -18901.4	(delta): 67.767
32 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -18838.6	(delta): 62.7537
33 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -18784.5	(delta): 54.1274
34 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -18730.3	(delta): 54.1799
35 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -18696.6	(delta): 33.7353
36 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -18657.2	(delta): 39.4001
37 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -18623.4	(delta): 33.7114
38 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -18612.8	(delta): 10.6414
39 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -18604	(delta): 8.833
40 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -18562.1	(delta): 41.9082
41 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -18551.2	(delta): 10.8353
42 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -18542.8	(delta): 8.38624
43 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -18527.5	(delta): 15.368
44 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -18468.6	(delta): 58.8652
45 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -18400.6	(delta): 67.9912
46 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -18367	(delta): 33.5729
47 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -18351.3	(delta): 15.7573
48 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -18342.6	(delta): 8.65863
49 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -18331.7	(delta): 10.9098
50 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -18283.8	(delta): 47.9379
51 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -18151.7	(delta): 132.065
52 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -18101.2	(delta): 50.4997
53 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -18078.5	(delta): 22.6743
54 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -18048.7	(delta): 29.8694
55 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -17993.3	(delta): 55.4103
56 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -17979.7	(delta): 13.5133
57 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -17926.6	(delta): 53.1753
58 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -17915.1	(delta): 11.4999
59 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -17905.7	(delta): 9.414
60 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -17895.8	(delta): 9.85169
61 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -17885.7	(delta): 10.1374
62 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -17686.7	(delta): 198.931
63 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -17381.2	(delta): 305.543
64 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -17356.1	(delta): 25.0935
65 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -17245	(delta): 111.093
66 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16982	(delta): 262.974
67 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16928.9	(delta): 53.1338
68 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16900.7	(delta): 28.2373
69 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -16890.5	(delta): 10.1514
70 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -16885.9	(delta): 4.5645
71 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16869.1	(delta): 16.8422
72 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16863.7	(delta): 5.37758
73 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -16859.9	(delta): 3.78613
74 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16841.5	(delta): 18.4618
75 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16822.7	(delta): 18.8237
76 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -16803	(delta): 19.6305
77 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -16791.5	(delta): 11.5704
78 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16785.2	(delta): 6.29702
79 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -16779.5	(delta): 5.62781
80 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -16774	(delta): 5.56706
81 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16733.9	(delta): 40.0472
82 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16719.8	(delta): 14.1245
83 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16674.1	(delta): 45.7414
84 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16652.7	(delta): 21.3208
85 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16637.3	(delta): 15.4783
86 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -16615.3	(delta): 21.9679
87 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16590.9	(delta): 24.338
88 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16579.8	(delta): 11.1801
89 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16570.4	(delta): 9.37213
90 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16566.6	(delta): 3.81943
91 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -16564.5	(delta): 2.10049
92 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -16563.1	(delta): 1.39521
93 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16561.2	(delta): 1.90009
94 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16554	(delta): 7.2053
95 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -16550.5	(delta): 3.51148
96 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -16547.2	(delta): 3.26119
97 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -16542.1	(delta): 5.06302
98 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -16539.5	(delta): 2.60731
99 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16537.8	(delta): 1.73244
100 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -16536.5	(delta): 1.27658
101 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -16534.7	(delta): 1.83544
102 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -16532.6	(delta): 2.04055
103 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -16530.9	(delta): 1.70287
104 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -16529.8	(delta): 1.18043
105 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -16524	(delta): 5.78628
106 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -16521.6	(delta): 2.34128
107 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16521.4	(delta): 0.222961
108 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16521.3	(delta): 0.0934909
109 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.9	(delta): 0.430358
110 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.9	(delta): 0.00917408
111 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.8	(delta): 0.087221
112 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.8	(delta): 0.0090593
113 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.8	(delta): 0.0167038
114 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.8	(delta): 0.0034709
115 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.0143994
116 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.00296114
117 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.00627824
118 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.00222827
119 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.00824996
120 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.00172898
121 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.00287472
122 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.00188491
123 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.00649291
124 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.00138555
125 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.00183185
126 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.00167719
127 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.0050987
128 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.00111842
129 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.0013279
130 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.00148004
131 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.00321391
132 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.000794232
133 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.00123185
134 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.00134956
135 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.00147889
136 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.000479844
137 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.00155935
138 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.00169222
139 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.000392315
140 (QN/EM) 	Elapsed: 0.037	Loglikelihood: -16520.7	(delta): 0.000270221
141 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.00303665
142 (QN/EM) 	Elapsed: 0.036	Loglikelihood: -16520.7	(delta): 0.00470703
143 (QN/EM) 	Elapsed: 0.038	Loglikelihood: -16520.7	(delta): 4.33386e-05
Summary: 
Converged in 143 iterations (5.527 sec)
Loglikelihood: -16520.680168
Fst divergences between estimated populations: 
	Pop0	Pop1	Pop2	Pop3	Pop4	
Pop0	
Pop1	0.640	
Pop2	0.603	0.506	
Pop3	0.749	0.572	0.566	
Pop4	0.781	0.559	0.595	0.681	
Pop5	0.676	0.455	0.521	0.544	0.264	
CV error (K=6): 0.13406
Writing output files.
